,District,Total_Cases,Cases_Today
0,Agar Malwa,13,0
1,Alirajpur,3,0
2,Anuppur,3,0
3,Ashoknagar,2,0
4,Balaghat,0,0
5,Barwani,26,0
6,Betul,1,0
7,Bhind,10,1
8,Bhopal,900,42
9,Burhanpur,95,35
10,Chhatarpur,0,0
11,Chhindwara,5,0
12,Damoh,0,0
13,Datia,0,0
14,Dewas,58,2
15,Dhar,89,0
16,Dindori,2,0
17,Guna,1,0
18,Gwalior,31,0
19,Harda,3,0
20,Hoshangabad,37,0
21,Indore,2238,131
22,Jabalpur,157,10
23,Jhabua,7,5
24,Katni,0,0
25,Khandwa,81,1
26,Khargone,97,2
27,Mandla,1,0
28,Mandsaur,57,1
29,Morena,25,0
30,Narsinghpur,0,0
31,Neemuch,45,7
32,Niwari,0,0
33,Other Region,0,0
34,Panna,1,0
35,Raisen,65,0
36,Rajgarh,0,0
37,Ratlam,28,0
38,Rewa,7,4
39,Sagar,14,4
40,Satna,7,0
41,Sehore,4,0
42,Seoni,1,0
43,Shahdol,3,0
44,Shajapur,8,0
45,Sheopur,4,0
46,Shivpuri,3,0
47,Sidhi,4,3
48,Singrauli,0,0
49,Tikamgarh,3,0
50,Ujjain,274,5
51,Umaria,0,0
52,Vidisha,13,0
