,Date,State,Samples,Positive
0,2020-04-17,Andaman and Nicobar Islands,1403.0,12.0
1,2020-04-24,Andaman and Nicobar Islands,2679.0,27.0
2,2020-04-27,Andaman and Nicobar Islands,2848.0,33.0
3,2020-04-02,Andhra Pradesh,1800.0,132.0
4,2020-04-10,Andhra Pradesh,6374.0,365.0
5,2020-04-11,Andhra Pradesh,6958.0,381.0
6,2020-04-12,Andhra Pradesh,6958.0,405.0
7,2020-04-13,Andhra Pradesh,8755.0,432.0
8,2020-04-14,Andhra Pradesh,10505.0,473.0
9,2020-04-15,Andhra Pradesh,11613.0,525.0
10,2020-04-16,Andhra Pradesh,20235.0,534.0
11,2020-04-17,Andhra Pradesh,20235.0,572.0
12,2020-04-18,Andhra Pradesh,21450.0,603.0
13,2020-04-19,Andhra Pradesh,26958.0,647.0
14,2020-04-20,Andhra Pradesh,30733.0,722.0
15,2020-04-21,Andhra Pradesh,35755.0,757.0
16,2020-04-22,Andhra Pradesh,41512.0,813.0
17,2020-04-23,Andhra Pradesh,48032.0,893.0
18,2020-04-24,Andhra Pradesh,54338.0,955.0
19,2020-04-25,Andhra Pradesh,61266.0,1016.0
20,2020-04-26,Andhra Pradesh,68034.0,1097.0
21,2020-04-27,Andhra Pradesh,74551.0,1177.0
22,2020-04-28,Andhra Pradesh,80334.0,1259.0
23,2020-04-09,Arunachal Pradesh,206.0,1.0
24,2020-04-14,Arunachal Pradesh,280.0,1.0
25,2020-04-17,Arunachal Pradesh,363.0,1.0
26,2020-04-18,Arunachal Pradesh,389.0,1.0
27,2020-04-19,Arunachal Pradesh,,
28,2020-04-20,Arunachal Pradesh,439.0,1.0
29,2020-04-21,Arunachal Pradesh,454.0,1.0
30,2020-04-22,Arunachal Pradesh,496.0,2.0
31,2020-04-23,Arunachal Pradesh,,
32,2020-04-24,Arunachal Pradesh,526.0,2.0
33,2020-04-25,Arunachal Pradesh,,
34,2020-04-26,Arunachal Pradesh,568.0,2.0
35,2020-04-27,Arunachal Pradesh,584.0,2.0
36,2020-04-28,Arunachal Pradesh,,
37,2020-04-02,Assam,962.0,16.0
38,2020-04-05,Assam,,
39,2020-04-10,Assam,2863.0,29.0
40,2020-04-11,Assam,3011.0,29.0
41,2020-04-12,Assam,3138.0,29.0
42,2020-04-13,Assam,,
43,2020-04-14,Assam,3491.0,31.0
44,2020-04-15,Assam,3613.0,32.0
45,2020-04-16,Assam,4108.0,34.0
46,2020-04-17,Assam,4236.0,34.0
47,2020-04-18,Assam,4400.0,34.0
48,2020-04-19,Assam,4865.0,34.0
49,2020-04-20,Assam,5112.0,34.0
50,2020-04-21,Assam,5514.0,34.0
51,2020-04-22,Assam,,
52,2020-04-23,Assam,,
53,2020-04-24,Assam,6680.0,35.0
54,2020-04-25,Assam,7159.0,35.0
55,2020-04-26,Assam,7823.0,35.0
56,2020-04-27,Assam,8117.0,35.0
57,2020-04-28,Assam,,
58,2020-04-05,Bihar,3037.0,32.0
59,2020-04-05,Bihar,3037.0,32.0
60,2020-04-08,Bihar,4596.0,38.0
61,2020-04-09,Bihar,4991.0,43.0
62,2020-04-10,Bihar,5457.0,60.0
63,2020-04-11,Bihar,6250.0,61.0
64,2020-04-12,Bihar,6703.0,64.0
65,2020-04-13,Bihar,7263.0,65.0
66,2020-04-14,Bihar,7727.0,62.0
67,2020-04-15,Bihar,8263.0,66.0
68,2020-04-16,Bihar,8846.0,72.0
69,2020-04-17,Bihar,9486.0,83.0
70,2020-04-18,Bihar,10130.0,85.0
71,2020-04-19,Bihar,10745.0,92.0
72,2020-04-20,Bihar,11319.0,96.0
73,2020-04-21,Bihar,11999.0,115.0
74,2020-04-22,Bihar,12978.0,136.0
75,2020-04-23,Bihar,13785.0,148.0
76,2020-04-24,Bihar,14924.0,176.0
